tanggal,tahun,bulan,h2_ppb,ch4_ppb,co2_ppm,co_ppb,delta_h2,target_h2_delta,delta_co,delta_ch4,delta_co2,rasio_h2_co,h2_lag1,h2_lag2,sin_bulan,cos_bulan
2012-10-01,2012,10,554.915,1875.4766666666665,393.60499999999996,155.04,0.11874999999997726,0.11874999999997726,-1.5175000000000125,0.9683333333332484,0.40125000000000455,-0.07825370675451485,554.79625,554.6775,-0.8660254037844386,0.5000000000000001
2012-11-01,2012,11,555.0337499999999,1876.445,394.00624999999997,153.5225,0.11874999999997726,0.11874999999997726,-1.517499999999984,0.9683333333334758,0.40125000000000455,-0.07825370675451632,554.915,554.79625,-0.5000000000000004,0.8660254037844384
2012-12-01,2012,12,555.1525,1877.4133333333332,394.40749999999997,152.005,0.11875000000009095,0.11875000000009095,-1.5175000000000125,0.9683333333332484,0.40125000000000455,-0.07825370675458977,555.0337499999999,554.915,-2.4492935982947064e-16,1.0
2013-01-01,2013,1,555.27125,1878.3816666666667,394.80875,150.4875,0.11874999999997726,0.11874999999997726,-1.517499999999984,0.9683333333334758,0.40125000000000455,-0.07825370675451632,555.1525,555.0337499999999,0.49999999999999994,0.8660254037844387
2013-02-01,2013,2,555.39,1879.35,395.21,148.97,0.11874999999997726,0.11874999999997726,-1.5175000000000125,0.9683333333332484,0.40125000000000455,-0.07825370675451485,555.27125,555.1525,0.8660254037844386,0.5000000000000001
2013-03-01,2013,3,564.14,1874.83,394.17,158.0,8.75,8.75,9.030000000000001,-4.519999999999982,-1.0399999999999636,0.9689922480620153,555.39,555.27125,1.0,6.123233995736766e-17
2013-04-01,2013,4,558.97,1839.755,393.5,125.05,-5.169999999999959,-5.169999999999959,-32.95,-35.07499999999982,-0.6700000000000159,0.15690440060697902,564.14,555.39,0.8660254037844387,-0.4999999999999998
2013-05-01,2013,5,553.8,1804.68,392.83,92.1,-5.170000000000073,-5.170000000000073,-32.95,-35.075000000000045,-0.6700000000000159,0.15690440060698246,558.97,564.14,0.49999999999999994,-0.8660254037844387
2013-06-01,2013,6,558.9,1798.18,395.33,77.47,5.100000000000023,5.100000000000023,-14.629999999999995,-6.5,2.5,-0.3485987696514029,553.8,558.97,1.2246467991473532e-16,-1.0
2013-07-01,2013,7,571.64,1814.05,402.78,96.2,12.740000000000009,12.740000000000009,18.730000000000004,15.86999999999989,7.449999999999989,0.6801922050186869,558.9,553.8,-0.4999999999999997,-0.8660254037844388
2013-08-01,2013,8,569.73,1824.59,402.98,112.86,-1.9099999999999682,-1.9099999999999682,16.659999999999997,10.539999999999964,0.20000000000004547,-0.11464585834333545,571.64,558.9,-0.8660254037844385,-0.5000000000000004
2013-09-01,2013,9,559.01,1815.42,394.58,110.35,-10.720000000000027,-10.720000000000027,-2.510000000000005,-9.169999999999845,-8.400000000000034,4.270916334661357,569.73,571.64,-1.0,-1.8369701987210297e-16
2013-10-01,2013,10,553.76,1839.89,391.78,109.21,-5.25,-5.25,-1.1400000000000006,24.470000000000027,-2.8000000000000114,4.6052631578947345,559.01,569.73,-0.8660254037844386,0.5000000000000001
2013-11-01,2013,11,551.43,1872.63,393.25,110.71,-2.330000000000041,-2.330000000000041,1.5,32.74000000000001,1.4700000000000273,-1.5533333333333605,553.76,559.01,-0.5000000000000004,0.8660254037844384
2013-12-01,2013,12,549.58,1864.37,392.54,119.32,-1.849999999999909,-1.849999999999909,8.61,-8.260000000000218,-0.7099999999999795,-0.21486643437861896,551.43,553.76,-2.4492935982947064e-16,1.0
2014-01-01,2014,1,555.88,1886.82,394.3,154.12,6.2999999999999545,6.2999999999999545,34.80000000000001,22.450000000000045,1.759999999999991,0.18103448275861933,549.58,551.43,0.49999999999999994,0.8660254037844387
2014-02-01,2014,2,562.08,1902.18,399.95,170.8,6.2000000000000455,6.2000000000000455,16.680000000000007,15.360000000000127,5.649999999999977,0.3717026378896908,555.88,549.58,0.8660254037844386,0.5000000000000001
2014-03-01,2014,3,559.2833333333334,1880.75,398.58,149.7266666666667,-2.7966666666666242,-2.7966666666666242,-21.073333333333323,-21.430000000000064,-1.3700000000000045,0.1327111673521018,562.08,555.88,1.0,6.123233995736766e-17
2014-04-01,2014,4,556.4866666666667,1859.3200000000002,397.21,128.65333333333334,-2.796666666666738,-2.796666666666738,-21.073333333333352,-21.429999999999836,-1.3700000000000045,0.13271116735210703,559.2833333333334,562.08,0.8660254037844387,-0.4999999999999998
2014-05-01,2014,5,553.69,1837.89,395.84,107.58,-2.7966666666666242,-2.7966666666666242,-21.073333333333338,-21.430000000000064,-1.3700000000000045,0.13271116735210173,556.4866666666667,559.2833333333334,0.49999999999999994,-0.8660254037844387
2014-06-01,2014,6,549.07,1833.36,395.6,98.46,-4.6200000000000045,-4.6200000000000045,-9.120000000000005,-4.5300000000002,-0.23999999999995225,0.5065789473684214,553.69,556.4866666666667,1.2246467991473532e-16,-1.0
2014-07-01,2014,7,548.34,1818.55,393.72,93.58,-0.7300000000000182,-0.7300000000000182,-4.8799999999999955,-14.809999999999945,-1.8799999999999955,0.1495901639344301,549.07,553.69,-0.4999999999999997,-0.8660254037844388
2014-08-01,2014,8,550.78,1825.63,392.53,102.35,2.439999999999941,2.439999999999941,8.769999999999996,7.080000000000155,-1.1900000000000546,0.2782212086658999,548.34,549.07,-0.8660254037844385,-0.5000000000000004
2014-09-01,2014,9,555.51,1848.76,393.65,122.16,4.730000000000018,4.730000000000018,19.810000000000002,23.12999999999988,1.1200000000000045,0.2387682988389711,550.78,548.34,-1.0,-1.8369701987210297e-16
